,Title,Alternate/Subtitle,Main Event?,Date Start,Date End,Host Institution,"Location (City, State)",URL
0001,Orphans of the Storm: Saving Orphan Films in the Digital Age,,1,"Thursday, September 23, 1999","Saturday, September 25, 1999",University of South Carolina ,"Columbia, SC",http://www.sc.edu/filmsymposium/archive/orphans1999/details.html
0002,Orphans of the Storm II: Documenting the 20th Century,,2,"Wednesday, March 28, 2001","Saturday, March 31, 2001",University of South Carolina ,"Columbia, SC",http://www.sc.edu/filmsymposium/archive/orphans2001/programfr.html
0003,Orphans III: Listening to Orphan Films,Sound/Music/Voice,3,"Thursday, September 26, 2002","Saturday, September 28, 2002",University of South Carolina ,"Columbia, SC",http://www.sc.edu/filmsymposium/archive/orphans2002/program.html
0004,Orphans '04: On Location: Place and Region in Forgotten Films,,4,"Wednesday, March 24, 2004","Saturday, March 27, 2004",University of South Carolina ,"Columbia, SC",http://www.sc.edu/filmsymposium/archive/orphans2004/index.html
0005,"Orphans 5:  Science, Industry & Education",,5,"Wednesday, March 22, 2006","Saturday, March 25, 2006",University of South Carolina ,"Columbia, SC",http://www.sc.edu/filmsymposium/index.html
0006,Orphans 6: The State,,6,"Wednesday, March 26, 2008","Saturday, March 29, 2008",New York University,"New York, NY",http://www.nyu.edu/orphanfilm/orphans6/
0007,Orphans 7: Moving Pictures Around the World,,7,"Wednesday, April 7, 2010","Saturday, April 10, 2010",New York University,"New York, NY",http://www.nyu.edu/orphanfilm/orphans7/
0008,Orphans 8: Made to Persuade,,8,"Wednesday, April 11, 2012","Saturday, April 14, 2012",New York University,"New York, NY",http://www.nyu.edu/orphanfilm/orphans8/
0009,Orphans 9: The Future of Obsolescence,,9,"Sunday, March 30, 2014","Wednesday, April 2, 2014",New York University / University of Amsterdam,"New York, NY, US / Amsterdam, NL",http://www.nyu.edu/orphanfilm/orphans9/
0010,,,,,,,,
0011,,,,,,,,
0012,,,,,,,,
0013,,,,,,,,
0014,,,,,,,,
0015,,,,,,,,
0016,,,,,,,,
0017,,,,,,,,
0018,,,,,,,,
0019,,,,,,,,
0020,,,,,,,,
0021,,,,,,,,
0022,,,,,,,,
0023,,,,,,,,
0024,,,,,,,,
0025,,,,,,,,
0026,,,,,,,,
0027,,,,,,,,
0028,,,,,,,,
0029,,,,,,,,
0030,,,,,,,,
0031,,,,,,,,
0032,,,,,,,,
0033,,,,,,,,
0034,,,,,,,,
0035,,,,,,,,
0036,,,,,,,,
0037,,,,,,,,
0038,,,,,,,,
0039,,,,,,,,
0040,,,,,,,,
0041,,,,,,,,
0042,,,,,,,,
0043,,,,,,,,
0044,,,,,,,,
0045,,,,,,,,
0046,,,,,,,,
0047,,,,,,,,
0048,,,,,,,,
0049,,,,,,,,
0050,,,,,,,,
0051,,,,,,,,
0052,,,,,,,,
0053,,,,,,,,
0054,,,,,,,,
0055,,,,,,,,
0056,,,,,,,,
0057,,,,,,,,
0058,,,,,,,,
0059,,,,,,,,
0060,,,,,,,,
0061,,,,,,,,
0062,,,,,,,,
0063,,,,,,,,
0064,,,,,,,,
0065,,,,,,,,
0066,,,,,,,,